"number_overall","season","number_in_season","episode_name","animation_direction_by","written_and_storyboarded_by","original_air_date","us_viewers_mil","imdb_rating"
"1","1","1","The Power","Robert Alvarez, Brian Sheesley","J. G. Quintel","2010-09-06","2.1","8.8"
"2","1","2","Just Set Up the Chairs","Robert Alvarez, Brian Sheesley","Sean Szeles, Shion Takeuchi","2010-09-13","1.9","8.8"
"3","1","3","Caffeinated Coffee Tickets","Robert Alvarez, Brian Sheesley","J. G. Quintel, Mike Roth","2010-09-20","1.72","8.5"
"4","1","4","Death Punchies","Robert Alvarez, Brian Sheesley","J. G. Quintel, Mike Roth, Jake Armstrong","2010-09-27","1.98","8.9"
"5","1","5","Free Cake","Robert Alvarez, Brian Sheesley","Kat Morris, Paul Scarlata","2010-10-04","2.1","8.5"
"6","1","6","Meat Your Maker","Robert Alvarez, Brian Sheesley","Sean Szeles, Shion Takeuchi","2010-10-11","1.87","8.4"
"7","1","7","Grilled Cheese Deluxe","Robert Alvarez, Brian Sheesley","Sean Szeles, Shion Takeuchi","2010-10-18","2.16","8.8"
"8","1","8","The Unicorns Have Got to Go","Robert Alvarez, Brian Sheesley","Kat Morris, Paul Scarlata","2010-10-25","2.42","7.6"
"9","1","9","Prank Callers","Robert Alvarez, Brian Sheesley","J. G. Quintel, Mike Roth, Kent Osborne","2010-11-01","2.1","9"
"10","1","10","Don","Robert Alvarez, Brian Sheesley","Benton Connor, Kat Morris, J. G. Quintel","2010-11-08","2.09","8.7"
"11","1","11","Rigby's Body","Robert Alvarez, Brian Sheesley","J. G. Quintel, Mike Roth","2010-11-15","1.93","8.6"
"12","1","12","Mordecai and the Rigbys","Robert Alvarez, Brian Sheesley","Sean Szeles, Shion Takeuchi","2010-11-22","2.03","9.2"
"13","2","1","Ello Gov'nor","Robert Alvarez","Sean Szeles, Shion Takeuchi","2010-11-29","2.07","9.1"
"14","2","2","It's Time","Robert Alvarez","Benton Connor, Calvin Wong","2011-01-03","1.67","8.8"
"15","2","3","Appreciation Day","Robert Alvarez","Kat Morris, Paul Scarlata","2011-01-10","1.72","8.5"
"16","2","4","Peeps","Robert Alvarez","Benton Connor, Calvin Wong","2011-01-17","1.98","8.7"
"17","2","5","Dizzy","Robert Alvarez","Sean Szeles, Shion Takeuchi","2011-01-24","2.1","8.4"
"18","2","6","My Mom","Robert Alvarez","Kat Morris","2011-01-31","1.83","8"
"19","2","7","High Score","Lindsey Pollard","Sean Szeles","2011-02-07","2.01","9.1"
"20","2","8","Rage Against the TV","Robert Alvarez","J. G. Quintel, Mike Roth, John Infantino","2011-02-14","1.85","9.3"
"21","2","9","Party Pete","Robert Alvarez","Benton Connor, Calvin Wong","2011-02-21","1.72","8.6"
"22","2","10","Brain Eraser","Robert Alvarez","Kat Morris","2011-02-25","0.91","8.9"
"23","2","11","Benson Be Gone","Robert Alvarez","John Infantino","2011-02-28","1.87","8.6"
"24","2","12","But I Have a Receipt","Robert Alvarez","Kat Morris, Minty Lewis","2011-03-07","1.75","8.6"
"25","2","13","This Is My Jam","Robert Alvarez","Sean Szeles","2011-03-28","1.52","9.1"
"26","2","14","Muscle Woman","Robert Alvarez","Benton Connor, Calvin Wong","2011-04-04","1.42","7.6"
"27","2","15","Temp Check","Brian Sheesley","Benton Connor, Calvin Wong","2011-04-11","1.69","8.6"
"28","2","16","Jinx","Robert Alvarez, Brian Sheesley","Sean Szeles, Henry Yu","2011-04-18","1.7","8.9"
"29","2","17","See You There","Robert Alvarez, Brian Sheesley","J. G. Quintel","2011-04-25","1.74","7.9"
"30","2","18","Do Me a Solid","Robert Alvarez, Brian Sheesley","Kat Morris, Minty Lewis","2011-05-02","2.04","8.5"
"31","2","19","Grave Sights","Robert Alvarez, Brian Sheesley","Benton Connor, Calvin Wong","2011-05-09","1.93","9.3"
"32","2","20","Really Real Wrestling","Robert Alvarez, Brian Sheesley","Sean Szeles","2011-05-16","2.16","8.5"
"33","2","21","Over the Top","Robert Alvarez, Brian Sheesley","Benton Connor, Calvin Wong","2011-05-23","1.96","9.1"
"34","2","22","The Night Owl","Robert Alvarez, Brian Sheesley","Kat Morris, Minty Lewis","2011-05-30","2.11","9"
"35","2","23","A Bunch of Baby Ducks","Robert Alvarez, Brian Sheesley","Kat Morris, Minty Lewis","2011-06-06","2.33","9.4"
"36","2","24","More Smarter","Robert Alvarez, Brian Sheesley","Benton Connor, Calvin Wong","2011-06-13","2.19","8.9"
"37","2","25","First Day","Robert Alvarez","J. G. Quintel","2011-07-11","2.63","8.8"
"38","2","26","Go Viral","Robert Alvarez, Brian Sheesley","Benton Connor, Calvin Wong","2011-07-18","2.01","8.9"
"39","2","27","Skunked","Robert Alvarez, Brian Sheesley","J. G. Quintel, Sean Szeles","2011-07-25","2.14","8.7"
"40","2","28","Karaoke Video","Robert Alvarez","Sean Szeles, Dennis Messner","2011-08-01","2.26","9.1"
"41","3","1","Stick Hockey","Robert Alvarez","Sean Szeles, Kat Morris","2011-09-19","2","8.9"
"42","3","2","Bet to Be Blonde","Robert Alvarez","Benton Connor, Calvin Wong","2011-09-26","1.99","8.4"
"43","3","3","Skips Strikes","Robert Alvarez","Benton Connor, Calvin Wong","2011-10-03","2.08","8.9"
"44","3","4","Terror Tales of the Park","Robert Alvarez","J. G. Quintel,res Salaff, Ben Adams, Sean Szeles, Kat Morris","2011-10-10","1.97","9.2"
"45","3","5","Terror Tales of the Park","Robert Alvarez","J. G. Quintel,res Salaff, Ben Adams, Sean Szeles, Kat Morris","2011-10-10","1.97","9.2"
"46","3","6","Camping Can Be Cool","Robert Alvarez","Sean Szeles, Kat Morris","2011-10-17","2.05","8.9"
"47","3","7","Slam Dunk","Robert Alvarez","Andres Salaff, Ben Adams","2011-10-24","2.08","8.8"
"48","3","8","Cool Bikes","Robert Alvarez","Benton Connor, Calvin Wong","2011-11-07","1.83","8.9"
"49","3","9","House Rules","Robert Alvarez","John Infantino, Andres Salaff","2011-11-14","2.3","8.5"
"50","3","10","Rap It Up","Robert Alvarez","Sean Szeles, Kat Morris","2011-11-21","2.14","9.1"
"51","3","11","Cruisin","Robert Alvarez","Benton Connor, Calvin Wong","2011-11-28","2.17","7.9"
"52","3","12","Under the Hood","Robert Alvarez","Andres Salaff, Toby Jones","2011-12-12","2.32","8"
"53","3","13","Weekend at Benson's","Robert Alvarez","Benton Connor, Hilary Florido","2012-01-16","1.99","9.2"
"54","3","14","Fortune Cookie","Robert Alvarez","Benton Connor, Calvin Wong, Hilary Florido","2012-01-23","1.86","8.1"
"55","3","15","Think Positive","Robert Alvarez","Sean Szeles, Kat Morris","2012-01-30","2.48","8.1"
"56","3","16","Skips vs. Technology","Robert Alvarez","Calvin Wong, Toby Jones","2012-02-06","2.39","9"
"57","3","17","Butt Dial","Robert Alvarez","Sean Szeles, Kat Morris","2012-02-13","2.45","8.8"
"58","3","18","Eggscellent","Robert Alvarez","J. G. Quintel","2012-02-27","2.32","9.5"
"59","3","19","Gut Model","Robert Alvarez","Sean Szeles, Kat Morris","2012-03-05","2.18","7"
"60","3","20","Video Game Wizards","Robert Alvarez","Benton Connor, Hilary Florido","2012-03-26","2.08","9.2"
"61","3","21","Big Winner","Robert Alvarez","Benton Connor, Hilary Florido","2012-04-02","2.38","7.8"
"62","3","22","The Best Burger in the World","Robert Alvarez","Andres Salaff","2012-04-09","2.46","7.3"
"63","3","23","Replaced","Robert Alvarez","J. G. Quintel, Mike Roth, John Infantino","2012-04-16","2.3","7.4"
"64","3","24","Trash Boat","Robert Alvarez","Benton Connor, Hilary Florido","2012-04-23","","8.9"
"65","3","25","Fists of Justice","Robert Alvarez","Andres Salaff","2012-04-30","2.25","8.8"
"66","3","26","Yes Dude Yes","Robert Alvarez","Sean Szeles, Kat Morris","2012-05-07","2.12","8.4"
"67","3","27","Busted Cart","Robert Alvarez","Benton Connor, Hilary Florido","2012-05-14","2.26","8.5"
"68","3","28","Dead at Eight","Robert Alvarez","Calvin Wong, Toby Jones","2012-05-28","2.05","8.3"
"69","3","29","Access Denied","Robert Alvarez","Sean Szeles, Kat Morris","2012-06-04","2.59","8.6"
"70","3","30","Muscle Mentor","Robert Alvarez","Andres Salaff","2012-06-11","2.73","7.8"
"71","3","31","Trucker Hall of Fame","Robert Alvarez","Calvin Wong, Toby Jones","2012-06-18","2.92","8.1"
"72","3","32","Out of Commission","Robert Alvarez","Calvin Wong, Toby Jones","2012-06-25","2.48","7.9"
"73","3","33","Fancy Restaurant","Robert Alvarez","Calvin Wong, Toby Jones","2012-07-16","2.93","7.8"
"74","3","34","Diary","Robert Alvarez","Andres Salaff, Madeline Queripel","2012-07-23","2.63","9"
"75","3","35","The Best VHS in the World","Robert Alvarez","Calvin Wong, Toby Jones","2012-07-30","2.78","7.9"
"76","3","36","Prankless","Robert Alvarez","Benton Connor, Hilary Florido","2012-08-06","2.93","8.1"
"77","3","37","Death Bear","Robert Alvarez","Sean Szeles, Kat Morris","2012-08-13","2.8","9"
"78","3","38","Fuzzy Dice","Robert Alvarez","Andres Salaff, Madeline Queripel","2012-08-20","2.63","8.9"
"79","3","39","Sugar Rush","Robert Alvarez","Benton Connor, Hilary Florido","2012-08-27","2.7","8.3"
"80","3","40","Bad Kiss","Robert Alvarez","Sean Szeles, Kat Morris","2012-09-03","2.17","9"
"81","4","1","Exit 9B","Robert Alvarez","Calvin Wong, Toby Jones,
Andres Salaff, Madeline Queripel","2012-10-01","3.05","9.7"
"82","4","2","Exit 9B","Robert Alvarez","Calvin Wong, Toby Jones,
Andres Salaff, Madeline Queripel","2012-10-01","3.05","9.7"
"83","4","3","Starter Pack","Robert Alvarez","Benton Connor, Hilary Florido","2012-10-08","1.86","7.4"
"84","4","4","Terror Tales of the Park II","Robert Alvarez","Benton Connor, Hilary Florido, Sean Szeles, Kat Morris","2012-10-15","3.11","8.9"
"85","4","5","Terror Tales of the Park II","Robert Alvarez","Benton Connor, Hilary Florido, Sean Szeles, Kat Morris","2012-10-15","3.11","8.9"
"86","4","6","Pie Contest","Robert Alvarez ","Sarah Oleksyk, Hellen Jo","2012-10-22","2.62","7.9"
"87","4","7","150 Piece Kit","Robert Alvarez ","Calvin Wong, Toby Jones","2012-10-29","2.11","8.9"
"88","4","8","Bald Spot","Robert Alvarez ","Andres Salaff, Madeline Queripel","2012-11-12","2.61","6.8"
"89","4","9","Guy's Night","Robert Alvarez ","Sean Szeles, Kat Morris","2012-11-19","2.46","8.4"
"90","4","10","One Pull Up","Robert Alvarez ","Sarah Oleksyk, Hellen Jo","2012-11-26","2.14","8.6"
"91","4","11","The Christmas Special","J. G. Quintel, Mike Roth, Robert Alvarez","Sean Szeles, Kat Morris,
Benton Connor, Hilary Florido","2012-12-03","2.71","9.4"
"92","4","12","The Christmas Special","J. G. Quintel, Mike Roth, Robert Alvarez","Sean Szeles, Kat Morris,
Benton Connor, Hilary Florido","2012-12-03","2.71","9.4"
"93","4","13","T.G.I. Tuesday","Robert Alvarez","Calvin Wong, Toby Jones","2013-01-07","2.81","8.9"
"94","4","14","Firework Run","Robert Alvarez ","Andres Salaff, Madeline Queripel","2013-01-14","2.24","8.3"
"95","4","15","The Longest Weekend","Robert Alvarez ","Sarah Oleksyk, Hellen Jo","2013-01-21","2.51","6.8"
"96","4","16","Sandwich of Death","Robert Alvarez ","Andres Salaff, Madeline Queripel","2013-01-28","2.54","9"
"97","4","17","Ace Balthazar Lives","Robert Alvarez ","Benton Connor, Hilary Florido","2013-02-04","2.27","7.8"
"98","4","18","Do or Diaper","Robert Alvarez ","Sean Szeles, Kat Morris","2013-02-11","2.67","8.2"
"99","4","19","Quips","Robert Alvarez ","Sarah Oleksyk, Hellen Jo","2013-02-18","2.43","7.2"
"100","4","20","Caveman","Robert Alvarez ","Calvin Wong, Toby Jones","2013-02-25","2.44","7.7"
"101","4","21","That's My Television","Robert Alvarez ","Andres Salaff, Madeline Queripel","2013-03-04","2.4","8.2"
"102","4","22","A Bunch of Full Grown Geese","Robert Alvarez ","Calvin Wong, Toby Jones","2013-03-25","2.58","9.4"
"103","4","23","Fool Me Twice","Robert Alvarez ","Calvin Wong, Toby Jones","2013-04-01","2.14","8.3"
"104","4","24","Limousine Lunchtime","Robert Alvarez ","Benton Connor, Hilary Florido","2013-04-08","2.35","8"
"105","4","25","Picking Up Margaret","Robert Alvarez ","Sean Szeles, Kat Morris","2013-04-15","2.26","9"
"106","4","26","K.I.L.I.T. Radio","Robert Alvarez ","Benton Connor, Sarah Oleksyk","2013-04-22","1.94","7.8"
"107","4","27","Carter and Briggs","Robert Alvarez ","Calvin Wong, Toby Jones","2013-05-06","2.12","8"
"108","4","28","Skips' Stress","Robert Alvarez ","Andres Salaff, Madeline Queripel","2013-05-13","2.08","8.9"
"109","4","29","Cool Cubed","Robert Alvarez ","Benton Connor, Hilary Florido","2013-05-20","2.37","7.5"
"110","4","30","Trailer Trashed","Robert Alvarez ","Calvin Wong, Kat Morris","2013-05-27","2.04","7.8"
"111","4","31","Meteor Moves","Robert Alvarez ","Benton Connor, Sarah Oleksyk","2013-06-10","2.46","9.1"
"112","4","32","Family BBQ","Robert Alvarez ","Benton Connor, Hilary Florido","2013-06-17","2.27","8.9"
"113","4","33","The Last Laserdisc Player","Robert Alvarez ","Calvin Wong, Toby Jones","2013-06-24","2.25","9"
"114","4","34","Country Club","Robert Alvarez ","Andres Salaff, Madeline Queripel","2013-07-01","2.51","7.7"
"115","4","35","Blind Trust","Robert Alvarez ","Andres Salaff, Madeline Queripel","2013-07-15","2.47","8.3"
"116","4","36","World's Best Boss","Robert Alvarez ","Kat Morris, James Kim","2013-07-15","2.47","7.9"
"117","4","37","Last Meal","Robert Alvarez ","Sarah Oleksyk, Owen Dennis","2013-07-22","2.55","7.3"
"118","4","38","Sleep Fighter","Robert Alvarez ","Kat Morris, James Kim","2013-07-29","2.06","8"
"119","4","39","Party Re-Pete","Robert Alvarez ","Sarah Oleksyk, Owen Dennis","2013-08-05","2.88","8"
"120","4","40","Steak Me Amadeus","Robert Alvarez ","Benton Connor, Hilary Florido","2013-08-12","2.44","9.3"
"121","5","1","Laundry Woes","Robert Alvarez ","Hilary Florido, Madeline Queripel","2013-09-02","2.12","8.8"
"122","5","2","Silver Dude","Robert Alvarez ","Sarah Oleksyk, Owen Dennis","2013-09-02","2.12","7.9"
"123","5","3","Benson's Car","Robert Alvarez ","Calvin Wong, Minty Lewis","2013-09-09","2.1","7.9"
"124","5","4","Every Meat Burritos","Robert Alvarez ","Owen Dennis, Sarah Oleksyk","2013-09-16","2.46","8"
"125","5","5","Wall Buddy","Robert Alvarez ","Calvin Wong, Minty Lewis","2013-09-23","2.12","7.2"
"126","5","6","A Skips in Time","Robert Alvarez ","Calvin Wong, Toby Jones","2013-09-30","1.94","8.9"
"127","5","7","Survival Skills","Robert Alvarez ","Minty Lewis","2013-10-14","1.87","8.3"
"128","5","8","Terror Tales of the Park III","Robert Alvarez ","Calvin Wong, Toby Jones, Benton Connor, Andres Salaff","2013-10-21","2.29","9"
"129","5","9","Terror Tales of the Park III","Robert Alvarez ","Calvin Wong, Toby Jones, Benton Connor, Andres Salaff","2013-10-21","2.29","9"
"130","5","10","Tants","Robert Alvarez ","Hilary Florido, Madeline Queripel","2013-11-04","2.07","7.8"
"131","5","11","Bank Shot","Robert Alvarez ","Owen Dennis, Sarah Oleksyk","2013-11-11","1.99","9"
"132","5","12","Power Tower","Robert Alvarez ","Benton Connor, Andres Salaff","2013-11-18","2.09","7.1"
"133","5","13","The Thanksgiving Special","J. G. Quintel and Mike Roth, Robert Alvarez ","Calvin Wong, Toby Jones, Benton Connor, Andres Salaff","2013-11-25","3.04","9.2"
